id,url,image,name,time,serves,price,energy,fat,saturated_fat,sugar,salt
blackberry-autumn-pudding,https://www.asdagoodliving.co.uk/food/recipes/blackberry-autumn-pudding,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1951/blackberry-autumn-pudding__square.jpg,Blackberry autumn pudding,505 mins,8,£1.21 per serving,187,0.8g,0.2g,21.3g,0.33
blackberry-creme-brulee,https://www.asdagoodliving.co.uk/food/recipes/blackberry-creme-brulee,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/838/blackberry-creme-brulee__square.jpg,Blackberry crème brûlée,180 mins,4,£1.60 per serving,354,18.2g,9.9g,41.1g,1482
blackberry-milk-jelly,https://www.asdagoodliving.co.uk/food/recipes/blackberry-milk-jelly,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2979/blackberry-jellies__square.jpg,Blackberry milk jelly,10 mins,4,£1.16 per serving,195,4.2g,2.4g,30.2g,0.40
blackberry-mousse,https://www.asdagoodliving.co.uk/food/recipes/blackberry-mousse,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1654/blackberry-mousse__square.jpg,Blackberry mousse,150 mins,6,£1.30 per serving,309,19.7g,12.2g,27.4g,1294
blackberry-pear-coconut-smoothie-in-a-bowl,https://www.asdagoodliving.co.uk/food/recipes/blackberry-pear-coconut-smoothie-in-a-bowl,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1953/blackberry-pear-coconut-smoothie-in-a-bowl__square.jpg,"Blackberry, pear & coconut smoothie in a bowl",5 mins,2,£1.19 per serving,237,8.3g,4.5g,30.2g,0.03
blackberry-pear-strudel,https://www.asdagoodliving.co.uk/food/recipes/blackberry-pear-strudel,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1952/blackberry-pear-strudel__square.jpg,Blackberry & pear strudel,50 mins,10,66p per serving,244,9.1g,5.3g,20.1g,0.47
blackberry-swirl-yogurt-loaf,https://www.asdagoodliving.co.uk/food/recipes/blackberry-swirl-yogurt-loaf,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1954/blackberry-swirl-yogurt-loaf__square.jpg,Blackberry swirl yogurt loaf,70 mins,16,23p per serving,189,6.3g,1.4g,16.6g,0.28
blackboard-tombstone-cake,https://www.asdagoodliving.co.uk/food/recipes/blackboard-tombstone-cake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1994/blackboard-tombstone-cake__square.jpg,Blackboard tombstone cake,180 mins,26,80p per serving,690,34.6g,19.0g,70.9g,0.69
blackcurrant-pear-multi-layered-fruit-cubes,https://www.asdagoodliving.co.uk/food/recipes/blackcurrant-pear-multi-layered-fruit-cubes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1830/flavoured-ice-cubes__square.jpg,Blackcurrant and pear multi-layered fruit cubes,240 mins,12,7p per serving,32,0.0g,0.0g,7.0g,0.09
bleeding-ketchup-cheese-bacon-muffins,https://www.asdagoodliving.co.uk/food/recipes/bleeding-ketchup-cheese-bacon-muffins,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1724/bleeding-ketchup-cheese-muffins__square.jpg,"Bleeding ketchup, cheese & bacon muffins",50 mins,10,30p per serving,170,10.0g,3.3g,1.6g,0.90
bling-my-brownie,https://www.asdagoodliving.co.uk/food/recipes/bling-my-brownie,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4128/eastereggbrowniegoldencrunch_16_9__square.jpg,Bling my brownie,45 mins,22,40p per serving,221,12.0g,7.0g,21.5g,0.21
blondies,https://www.asdagoodliving.co.uk/food/recipes/blondies,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1905/blondies__square.jpg,Blondies,85 mins,16,21p per serving,195,9.4g,3.8g,15.0g,0.24
blood-red-ribs-wings,https://www.asdagoodliving.co.uk/food/recipes/blood-red-ribs-wings,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/876/blood-red-ribs-wings__square.jpg,Blood-red ribs & wings,70 mins,10,70p per serving,246,8g,2.8g,14g,1030
blood-shots,https://www.asdagoodliving.co.uk/food/recipes/blood-shots,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1440/blood-shots__square.jpg,Blood shots,95 mins,12,41p per serving,161,10.8g,6.2g,10.3g,674
bloody-brains,https://www.asdagoodliving.co.uk/food/recipes/bloody-brains,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/841/bloody-brains__square.jpg,Bloody brains,90 mins,12,29p per serving,335,16.9g,10.2g,34.8g,1403
bloody-mary-mussels,https://www.asdagoodliving.co.uk/food/recipes/bloody-mary-mussels,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1263/bloody-mary-mussels__square.jpg,Bloody Mary mussels,60 mins,4,£2.05 per serving,221,8.5g,3.8g,4.4g,925
bloody-mary-soup,https://www.asdagoodliving.co.uk/food/recipes/bloody-mary-soup,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/616/bloody-mary-soup__square.jpg,Bloody Mary soup,15 mins,2,£1.45 per serving,120,5.6g,2g,4.6g,502
blt-dogs,https://www.asdagoodliving.co.uk/food/recipes/blt-dogs,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2677/bacon-lettuce-and-tomato-hot-dogs__square.jpg,BLT hot dogs,30 mins,8,£1.22 per serving,304,14.0g,5.5g,8.1g,1.68
blue-cheese-prosciutto-stuffed-mushrooms,https://www.asdagoodliving.co.uk/food/recipes/blue-cheese-prosciutto-stuffed-mushrooms,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1708/blue-cheese-prosciutto-stuffed-mushrooms__square.jpg,Blue cheese and prosciutto stuffed mushrooms,35 mins,4,£1.27 per serving,378,29.0g,18.0g,1.7g,2.40
blueberry-batter-pudding,https://www.asdagoodliving.co.uk/food/recipes/blueberry-batter-pudding,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1357/blueberry-batter-pudding__square.jpg,Blueberry batter pudding,60 mins,6,30p per serving,171,4.7g,1.7g,17g,716
blueberry-burst-pancakes,https://www.asdagoodliving.co.uk/food/recipes/blueberry-burst-pancakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2691/cottage-cheese-pankcakes__square.jpg,Blueberry burst pancakes,15 mins,10,25p per serving,123,3.3g,0.7g,3.0g,0.34
blueberry-cheesecake,https://www.asdagoodliving.co.uk/food/recipes/blueberry-cheesecake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1358/blueberry-cheesecake__square.jpg,Blueberry cheesecake,90 mins,12,75p per serving,410,31g,19g,19g,1717
blueberry-crumble-in-a-jar,https://www.asdagoodliving.co.uk/food/recipes/blueberry-crumble-in-a-jar,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4316/blueberry-crumble-in-a-jar__square.jpg,Blueberry crumble in a jar,45 mins,4,95p per serving,316,14.6g,3.4g,24.8g,0.05
blueberry-gateau,https://www.asdagoodliving.co.uk/food/recipes/blueberry-gateau,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4464/blueberry-gateau-cake__square.jpg,Blueberry surprise gâteau,120 mins,32,38p per serving,403,21.8g,13.4g,39.9g,0.61
blueberry-muffins,https://www.asdagoodliving.co.uk/food/recipes/blueberry-muffins,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/815/blueberry-muffins__square.jpg,Blueberry muffins,45 mins,12,31p per serving,242,8.9g,5g,18g,1013
blueberry-seeded-muffins,https://www.asdagoodliving.co.uk/food/recipes/blueberry-seeded-muffins,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1235/blueberry-seeded-muffins__square.jpg,Blueberry seeded muffins,45 mins,12,37p per serving,317,13.5g,2.7g,19.8g,1327
bolognese-rigatoni-pie,https://www.asdagoodliving.co.uk/food/recipes/bolognese-rigatoni-pie,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4569/bolognese-rigatoni-pie__square.jpg,Bolognese rigatoni pie,60 mins,8,per serving,343,11.5g,5.2g,4.7g,0.85
bone-broth,https://www.asdagoodliving.co.uk/food/recipes/bone-broth,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2114/bone_broth_with_vegetables__square.jpg,Bone broth,195 mins,4,per serving,30,0.3g,0.0g,4.2g,0.00
bonfire-muffins,https://www.asdagoodliving.co.uk/food/recipes/bonfire-muffins,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1600/bonfire-muffins__square.jpg,Bonfire muffins,35 mins,8,24p per serving,336,17.5g,10.7g,13.6g,1407
boulangere-potatoes,https://www.asdagoodliving.co.uk/food/recipes/boulangere-potatoes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/278/boulangere-potatoes__square.jpg,Boulangère potatoes,80 mins,6,22p per serving,183,4.6g,2.7g,2.4g,766
bourbon-rubbed-beef-with-gravy,https://www.asdagoodliving.co.uk/food/recipes/bourbon-rubbed-beef-with-gravy,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1021/bourbon-rubbed-beef-with-gravy__square.jpg,Bourbon-rubbed beef with gravy,210 mins,6,£1.84 per serving,252,8g,2.8g,2.7g,1055
boxing-day-bubble-and-squeak,https://www.asdagoodliving.co.uk/food/recipes/boxing-day-bubble-and-squeak,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3601/bubble_and_sqeak__square.jpg,Boxing Day bubble and squeak,20 mins,5,35p per serving,359,21.1g,5.8g,3.3g,0.38
brain-bites,https://www.asdagoodliving.co.uk/food/recipes/brain-bites,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1996/brain-bites__square.jpg,Brain bites,45 mins,12,42p per serving,128,1.2g,0.7g,14.4g,536
braised-beef-in-guinness-with-caramelised-red-onions,https://www.asdagoodliving.co.uk/food/recipes/braised-beef-in-guinness-with-caramelised-red-onions,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1772/braised-beef-in-guinness-with-caramelised-red-onions__square.jpg,Braised beef in Guinness with caramelised red onions,165 mins,6,£2.23 per serving,559,30.0g,11.0g,9.7g,1.10
braised-beef-in-tomato-sauce,https://www.asdagoodliving.co.uk/food/recipes/braised-beef-in-tomato-sauce,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1741/braised-beef-in-tomato-sauce__square.jpg,Braised beef in tomato sauce,240 mins,4,£1.66 per serving,378,11.6g,4.2g,9.2g,0.80
braised-beef-with-dumplings,https://www.asdagoodliving.co.uk/food/recipes/braised-beef-with-dumplings,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1443/braised-beef-with-dumplings__square.jpg,Braised beef with dumplings,330 mins,6,£2.45 per serving,531,19.5g,7g,7g,2223
braised-broad-beans-peas-artichokes,https://www.asdagoodliving.co.uk/food/recipes/braised-broad-beans-peas-artichokes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2233/braised-broad-beans__square.jpg,"Braised broad beans, peas and artichokes",15 mins,4,£1.01 per serving,250,15.8g,4.5g,3.0g,1.50
braised-peas-lettuce-with-chicken,https://www.asdagoodliving.co.uk/food/recipes/braised-peas-lettuce-with-chicken,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1482/braised-peas-lettuce-chicken__square.jpg,Braised peas & lettuce with chicken,25 mins,4,£1.34 per serving,504,24g,8g,3.8g,2110
braised-red-cabbage,https://www.asdagoodliving.co.uk/food/recipes/braised-red-cabbage,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/569/imageRecipeBraisedRedCabbage-2x__square.jpg,Braised red cabbage,80 mins,8,20p per serving,101,3.8g,1.2g,12.6g,423
bramble-cocktail,https://www.asdagoodliving.co.uk/food/recipes/bramble-cocktail,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2978/blackberry-bramble-cocktail__square.jpg,Bramble cocktail,10 mins,4,£1.39 per serving,186,0.0g,0.0g,9.1g,0.10
brandy-snap-rhubarb-cups,https://www.asdagoodliving.co.uk/food/recipes/brandy-snap-rhubarb-cups,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1477/brandy-snap-rhubarb-cups__square.jpg,Brandy snap rhubarb cups,60 mins,6,70p per serving,304,23g,15g,17g,1273
bread-and-butter-pudding,https://www.asdagoodliving.co.uk/food/recipes/bread-and-butter-pudding,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/460/bread-butter-pudding__square.jpg,Bread and butter pudding,90 mins,4-6,80p per serving,347,18g,9.5g,24g,1453
bread-in-a-bag,https://www.asdagoodliving.co.uk/food/recipes/bread-in-a-bag,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/907/bread-in-a-bag__square.jpg,Bread-in-a-bag,50 mins,4,6p per serving,180,1g,0.2g,0.9g,754
breaded-chicken-drumsticks,https://www.asdagoodliving.co.uk/food/recipes/breaded-chicken-drumsticks,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1283/breaded-chicken-drumsticks__square.jpg,Breaded chicken drumsticks,30 mins,4,£1.25 per serving,554,27g,11g,1.1g,2319
breaded-fish-with-chunky-chips-crushed-peas,https://www.asdagoodliving.co.uk/food/recipes/breaded-fish-with-chunky-chips-crushed-peas,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/452/imageRecipeBreadedFishChunkyChips-2x__square.jpg,Breaded fish with chunky chips & crushed peas,40 mins,4,£2.19 per serving,565,20.8g,5g,4.1g,0.9
brioche-roll-with-smoked-salmon-scrambled-egg,https://www.asdagoodliving.co.uk/food/recipes/brioche-roll-with-smoked-salmon-scrambled-egg,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/267/imageRecipeBriocheRollSmockedSalmonScrambledEgg-2x__square.jpg,Brioche roll with smoked salmon & scrambled egg,10 mins,1,£1.62 per serving,463,30.8g,11.5g,5.4g,1938
brisket-of-beef,https://www.asdagoodliving.co.uk/food/recipes/brisket-of-beef,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1043/brisket-of-beef__square.jpg,Brisket of beef,380 mins,6,£1.78 per serving,407,13.5g,5.6g,7.3g,1704
british-pancakes,https://www.asdagoodliving.co.uk/food/recipes/british-pancakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1381/british-pancakes__square.jpg,British pancakes,30 mins,10,6p per serving,74,2.5g,0.7g,1.4g,310
british-style-patatas-bravas,https://www.asdagoodliving.co.uk/food/recipes/british-style-patatas-bravas,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1535/british-style-patatas-bravas__square.jpg,British-style patatas bravas,50 mins,6,25p per serving,152,6.1g,0.7g,5.9g,636
broad-bean-puree,https://www.asdagoodliving.co.uk/food/recipes/broad-bean-puree,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1675/broad-bean-puree__square.jpg,Broad bean purée,20 mins,6,33p per serving,172,6.2g,1.6g,2.3g,0.42
broad-bean-radish-lancashire-cheese-salad,https://www.asdagoodliving.co.uk/food/recipes/broad-bean-radish-lancashire-cheese-salad,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1892/broad-bean-radish-lancashire-cheese-salad__square.jpg,"Broad bean, radish & Lancashire cheese salad",20 mins,8,41p per serving,221,16.8g,6.1g,2.8g,0.60
broad-bean-rocket-on-butter-bean-pate,https://www.asdagoodliving.co.uk/food/recipes/broad-bean-rocket-on-butter-bean-pate,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1326/broad-bean-rocket-butter-bean-pate__square.jpg,Broad bean & rocket on butter bean pâté,20 mins,4,92p per serving,291,17g,2.4g,3.3g,1218
broad-bean-rocket-salad-with-bean-butter,https://www.asdagoodliving.co.uk/food/recipes/broad-bean-rocket-salad-with-bean-butter,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1549/broad-bean-rocket-salad-with-bean-butter__square.jpg,Broad bean & rocket salad with bean butter,15 mins,8,40p per serving,200,14g,1.7g,0.8g,837
broccoli-beans-with-citrus-butter,https://www.asdagoodliving.co.uk/food/recipes/broccoli-beans-with-citrus-butter,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/233/imageRecipeBroccoiBeansCitrusButter-2x__square.jpg,Broccoli & beans with citrus butter,10 mins,6,£1.09 per serving,115,9.1g,2.9g,1.6g,481
broccoli-cheese-souffles,https://www.asdagoodliving.co.uk/food/recipes/broccoli-cheese-souffles,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1133/broccoli-cheese-souffle__square.jpg,Broccoli cheese soufflés,55 mins,6,46p per serving,203,15.1g,6.9g,1.6g,850
broccoli-cheese-soup,https://www.asdagoodliving.co.uk/food/recipes/broccoli-cheese-soup,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1123/broccoli-cheese-soup__square.jpg,Broccoli & cheese soup,25 mins,6,55p per serving,204,12g,6.4g,3.5g,854
broccoli-mushroom-noodles,https://www.asdagoodliving.co.uk/food/recipes/broccoli-mushroom-noodles,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1941/broccoli-mushroom-noodles__square.jpg,Broccoli & mushroom noodles,20 mins,4,£1.20 per serving,474,14.6g,2.4g,0.6g,1.82
broccoli-pesto-with-gnocchi,https://www.asdagoodliving.co.uk/food/recipes/broccoli-pesto-with-gnocchi,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2259/pesto__square.jpg,Broccoli pesto with gnocchi,30 mins,4,£1.25 per serving,529,32.3g,5.0g,3.8g,0.88
broccoli-stilton-soup,https://www.asdagoodliving.co.uk/food/recipes/broccoli-stilton-soup,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/984/broccoli-stilton-soup__square.jpg,Broccoli & Stilton soup,30 mins,4,71p per serving,297,20.2g,9.9g,3.8g,1243
broken-biscuit-cakes,https://www.asdagoodliving.co.uk/food/recipes/broken-biscuit-cakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/970/broken-biscuit-cake__square.jpg,Broken biscuit cakes,140 mins,40,12p per serving,162,11g,6.1g,8.8g,678
brussels-sprout-cabbage-parma-ham-pizza,https://www.asdagoodliving.co.uk/food/recipes/brussels-sprout-cabbage-parma-ham-pizza,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/895/brussels-sprout-cabbage-parma-ham-pizza__square.jpg,"Brussels sprout, cabbage & Parma ham pizza",45 mins,6,£1.02 per serving,328,11.5g,4.5g,3.3g,1373
brussels-sprouts-with-bacon,https://www.asdagoodliving.co.uk/food/recipes/brussels-sprouts-with-bacon,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/359/imageRecipeBrusselSproutsBacon-2x__square.jpg,Brussels sprouts with bacon,20 mins,8,50p per serving,134,10.1g,3.2g,3.3g,561
brussels-sprouts-with-pancetta-and-chestnuts,https://www.asdagoodliving.co.uk/food/recipes/brussels-sprouts-with-pancetta-and-chestnuts,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/561/imageRecipeBrusselsSproutsPancettaChestnuts-2x__square.jpg,Brussels sprouts with pancetta and chestnuts,20 mins,8,77p per serving,205,12.1g,4.7g,4.5g,858
bubble-and-squeak,https://www.asdagoodliving.co.uk/food/recipes/bubble-and-squeak,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/416/imageRecipeBubbleSqueak-2x__square.jpg,Bubble and squeak,60 mins,4,£1.08 per serving,412,22.6g,7.5g,4.2g,1725
bubble-squeak,https://www.asdagoodliving.co.uk/food/recipes/bubble-squeak,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/926/bubble-and-squeak__square.jpg,Bubble & squeak,40 mins,4,89p per serving,351,21g,4.9g,5.7g,1.1
bubble-squeak-cakes,https://www.asdagoodliving.co.uk/food/recipes/bubble-squeak-cakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/525/bubble-squeak-cakes__square.jpg,Bubble & squeak cakes,45 mins,4,£1.26 per serving,548,15.8g,7.6g,11.5g,2294
bucks-fizz-jelly,https://www.asdagoodliving.co.uk/food/recipes/bucks-fizz-jelly,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2577/orange-jelly-2__square.jpg,Bucks Fizz jelly,20 mins,6,59p per serving,115,0.2g,0.0g,19.8g,0.09
bucks-fizz-smoked-salmon-with-root-vegetable-mini-rostis,https://www.asdagoodliving.co.uk/food/recipes/bucks-fizz-smoked-salmon-with-root-vegetable-mini-rostis,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1081/bucks-fizz-smoked-salmon-root-veg-mini-rosti__square.jpg,Bucks Fizz smoked salmon with root vegetable mini rostis,30 mins,6,£1.80 per serving,203,9.9g,2.9g,2.6g,850
buddah-bowl,https://www.asdagoodliving.co.uk/food/recipes/buddah-bowl,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2116/buddha_bowl_soup__square.jpg,Buddah bowl,35 mins,2,per serving,358,12.9g,1.4g,8.6g,0.36
buffalo-turkey-sliders,https://www.asdagoodliving.co.uk/food/recipes/buffalo-turkey-sliders,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2467/turkey-sliders__square.jpg,Buffalo turkey sliders,18 mins,4,£1.10 per serving,176,6.4g,3.8g,1.8g,0.56
bulgur-wheat-apricot-salad,https://www.asdagoodliving.co.uk/food/recipes/bulgur-wheat-apricot-salad,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/717/bulgur-wheat-apricot-salad__square.jpg,Bulgur wheat & apricot salad,30 mins,4,£1.56 per serving,424,22.4g,5.2g,7.7g,1775
bunny-cake,https://www.asdagoodliving.co.uk/food/recipes/bunny-cake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1692/easter-bunny-cake__square.jpg,Showstopping bunny cake,140 mins,20,20p per serving,285,15.4g,9.4g,25.5g,0.4
bunny-cakes,https://www.asdagoodliving.co.uk/food/recipes/bunny-cakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/667/bunny-cakes__square.jpg,Bunny cakes,90 mins,28,14p per serving,215,11.9g,7.5g,19.9g,0.30
bunny-cupcakes,https://www.asdagoodliving.co.uk/food/recipes/bunny-cupcakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/208/imageRecipeBunnyCupcakes-2x__square.jpg,Bunny cupcakes,40 mins,12,40p per serving,303,17g,10.2g,27.4g,0.6
burrowing-bunnies,https://www.asdagoodliving.co.uk/food/recipes/burrowing-bunnies,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2276/asda_easter_rabbit_cookies__square.jpg,Burrowing bunny biscuits for Easter,40 mins,10,23p per serving,203,9.7g,6.0g,12.0g,0.23
butter-chicken,https://www.asdagoodliving.co.uk/food/recipes/butter-chicken,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1709/butter-chicken__square.jpg,Butter chicken,80 mins,6,£2.40 per serving,563,38.0g,21.0g,5.8g,0.66
buttered-jersey-royals,https://www.asdagoodliving.co.uk/food/recipes/buttered-jersey-royals,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2463/jersey-potatoes__square.jpg,Buttered Jersey Royals,15 mins,4,80p per serving,185,10.5g,6.6g,1.7g,0.28
butterflied-lamb-with-juniper-marinade,https://www.asdagoodliving.co.uk/food/recipes/butterflied-lamb-with-juniper-marinade,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1700/butterflied-lamb-with-juniper-marinade__square.jpg,Butterflied lamb with juniper marinade,270 mins,6,£2.37 per serving,399,20.9g,6.1g,0.6g,0.38
buttermilk-onion-rings,https://www.asdagoodliving.co.uk/food/recipes/buttermilk-onion-rings,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1967/buttermilk-onion-rings__square.jpg,Buttermilk onion rings,30 mins,4,34p per serving,287,6.6g,1.0g,5.9g,0.72
